表示, ローマ字
インクジェットプリンター, いんくじぇっとぷりんたー
星のない夜の空, ほしのないよるのそら
スペシャルプライス, すぺしゃるぷらいす
スペシャルサンクス, すぺしゃるさんくす
北海道直送, ほっかいどうちょくそう
戦国大名, せんごくだいみょう
期待して損した, きたいしてそんした
魂の一撃, たましいのいちげき
犬用シャンプー, いぬようしゃんぷー
集合写真, しゅうごうしゃしん
社会の歯車, しゃかいのはぐるま
映画館で昼寝, えいがかんでひるね
レインボーブリッジ, れいんぼーぶりっじ
エネルギー節約, えねるぎーせつやく
ミステリーサークル, みすてりーさーくる
驚愕の事実, きょうがくのじじつ
大切な書類, たいせつなしょるい
ポケットティッシュ, ぽけっとてぃっしゅ
ストレス解消, すとれすかいしょう
アリの巣の観察, ありのすのかんさつ
インターナショナル, いんたーなしょなる
アサリのお味噌汁, あさりのおみそしる
パン食い競争, ぱんくいきょうそう
見つかってしまった, みつかってしまった
フルーツの王様, ふるーつのおうさま
ごちそうさまでした, ごちそうさまでした
フィギュアスケート, ふぃぎゅあすけーと
電気を大切に, でんきをたいせつに
枕投げしようぜ, まくらなげしようぜ
今何時ですか？, いまなんじですか？
出口のない迷路, でぐちのないめいろ
キャベツの千切り, きゃべつのせんぎり
結婚おめでとう, けっこんおめでとう
懐中電灯, かいちゅうでんとう
野球中継, やきゅうちゅうけい
遠距離恋愛, えんきょりれんあい
シャッターチャンス, しゃったーちゃんす
隠れても無駄だ！, かくれてもむだだ！
